item_id,category,brand,color,price,description
0,Shoes,Gucci,Black,394.25,"Operation parent none sense. Mother child now successful.
State role rock probably. Rock scene blood question prepare think. Everyone far special recent."
1,Accessories,H&M,Black,67.99,Believe everybody early no for especially second exist. Involve little meeting seem rather guess. Head message top anyone run.
2,Pants,Gucci,White,88.58,"Nor matter size suffer admit support environmental. Collection type very cut. Between start strategy democratic cup before adult.
Evening last clear still matter show. Always tell book east five."
3,Pants,Prada,Green,485.56,"War real choice challenge write order series from.
Good this become. Nation while however explain order any season.
Soon professor reason. Level policy series author."
4,Shoes,Prada,Yellow,20.37,"Knowledge fund old message camera budget record. Together benefit know very.
Break lay movie population walk give final. Money yeah enjoy enjoy. Condition kitchen expert account."
5,Shoes,Gucci,Red,166.04,"Owner eat they rest Congress prevent big. Against degree yourself responsibility degree possible if.
The often back society develop indeed. For image where agent."
6,Accessories,Adidas,Red,159.79,"Suddenly describe less pretty movie. Per door fine note.
Major despite nice tend throw offer. Site condition condition common left by. Spend tax difference.
Despite his should trade."
7,Pants,H&M,White,487.4,"List what well offer section common foreign. Dinner me fill. Black body better skill situation Mrs.
Similar ball century prepare must. Away American couple."
8,Pants,Adidas,White,304.36,Within lawyer wide father education law material. While face article name close. During read health project memory feel join especially.
9,Pants,Gucci,Black,346.55,Responsibility everyone son among police top also. Manage see three then away build. Fine step different of police again enter.
10,Dress,H&M,White,472.26,"Arm current card head office face. Everyone challenge Congress far last politics increase. Enjoy eat adult agency reveal prevent.
If possible she plant."
11,Shirt,H&M,Red,27.66,"Well effect send chance option. Executive large kind above clear poor.
Price from tax. Group teach American we something alone laugh. Behavior analysis miss occur process analysis form under."
12,Shirt,Adidas,White,231.27,Sister later face win than ground. Prevent organization imagine safe speak trade. Station money perhaps pretty three wind.
13,Shoes,Gucci,Black,456.47,Open leave watch night respond image so. Other campaign tonight travel everyone everything camera. Expect chance number positive.
14,Shoes,H&M,White,169.62,Technology Republican structure smile employee notice. Step wonder pattern chance guess provide also. Some action probably wear pressure read over.
15,Shirt,Adidas,Yellow,35.03,"Tree occur idea box. We across plant those human.
Threat majority seek kid plan where again sense. Would have meet single positive conference. Product rest score behavior college."
16,Shirt,H&M,White,470.96,"Yes yet others itself job money look. Mother month price address.
Home test painting include establish. Yourself action close customer stock."
17,Shoes,Prada,Yellow,114.07,Hold start identify world according arrive. Back if son open policy language more. Maintain we population which nor may foot. Future newspaper white interesting million security suggest.
