user_id,age,gender,style_preference,signup_date
0,57,F,Casual,2023-05-22
1,24,F,Casual,2024-10-17
2,67,M,Casual,2024-11-06
3,49,M,Sporty,2023-12-21
4,61,F,Casual,2024-12-20
5,24,F,Sporty,2024-12-26
6,47,M,Sporty,2024-03-24
7,51,F,Sporty,2023-05-28
8,53,M,Sporty,2025-01-24
9,33,F,Formal,2024-11-20
10,28,F,Vintage,2024-08-10
11,18,F,Formal,2024-11-17
12,38,F,Casual,2024-10-10
13,51,F,Formal,2023-11-29
14,58,F,Formal,2025-01-29
15,57,F,Sporty,2025-01-26
16,59,F,Vintage,2023-06-06
17,26,M,Sporty,2023-04-20
18,62,M,Casual,2024-12-23
19,21,F,Sporty,2024-01-30
20,65,F,Vintage,2024-07-01
21,64,F,Formal,2023-06-29
22,54,F,Formal,2023-06-05
23,56,M,Formal,2024-08-10
24,47,F,Casual,2023-04-26
25,32,F,Vintage,2023-09-22
26,19,F,Casual,2024-08-18
27,69,M,Casual,2023-02-17
28,38,F,Casual,2024-07-01
29,42,F,Formal,2024-09-25
30,68,F,Sporty,2024-12-08
31,41,M,Casual,2023-09-17
32,27,F,Formal,2024-01-23
33,30,M,Vintage,2023-12-21
34,60,F,Casual,2023-07-19
35,32,F,Formal,2023-12-04
36,32,M,Casual,2024-04-06
37,37,F,Formal,2024-03-02
38,32,M,Sporty,2023-08-31
39,34,F,Formal,2024-11-16
40,39,M,Vintage,2023-08-31
41,29,F,Formal,2024-01-04
42,40,M,Formal,2024-07-13
43,41,F,Formal,2024-07-22
44,49,M,Vintage,2024-05-25
45,49,F,Casual,2024-10-30
46,26,M,Casual,2023-10-24
47,56,F,Vintage,2023-02-25
48,46,M,Casual,2023-06-19
49,63,M,Sporty,2024-03-01
50,35,M,Vintage,2024-09-02
51,43,F,Vintage,2023-02-24
52,35,M,Vintage,2023-06-01
53,59,F,Sporty,2023-03-20
54,61,F,Sporty,2024-01-10
55,29,F,Vintage,2024-10-29
56,19,F,Vintage,2024-03-02
57,45,M,Casual,2024-03-01
58,20,F,Sporty,2023-03-05
59,51,M,Sporty,2023-08-26
60,49,F,Vintage,2023-08-08
61,25,M,Formal,2023-12-28
62,42,M,Formal,2023-07-27
63,46,M,Formal,2024-03-15
64,51,M,Casual,2023-07-23
65,41,F,Vintage,2023-04-05
66,50,F,Vintage,2023-09-12
67,68,M,Sporty,2024-02-27
68,63,F,Formal,2024-11-18
69,59,F,Vintage,2023-02-18
70,24,F,Vintage,2024-10-21
71,56,M,Casual,2024-01-14
72,20,F,Formal,2024-08-18
73,24,M,Vintage,2023-04-17
74,38,M,Vintage,2024-10-25
75,46,F,Casual,2023-03-31
76,31,M,Formal,2024-08-04
77,22,M,Sporty,2025-01-03
78,24,M,Formal,2024-03-30
79,69,F,Vintage,2024-12-22
80,52,F,Formal,2023-08-14
81,41,M,Sporty,2024-08-08
82,41,M,Vintage,2024-12-19
83,68,M,Casual,2024-01-12
84,23,M,Vintage,2023-10-03
85,32,F,Vintage,2024-10-25
86,49,F,Formal,2024-04-22
87,45,M,Vintage,2024-08-22
88,60,F,Vintage,2024-05-24
89,54,F,Sporty,2024-02-28
90,41,M,Casual,2023-07-28
91,46,M,Formal,2024-06-23
92,31,F,Casual,2023-12-24
93,28,M,Formal,2023-08-02
94,57,M,Vintage,2024-11-27
95,35,F,Vintage,2025-01-30
96,40,M,Vintage,2023-10-15
97,30,M,Casual,2023-08-14
98,46,M,Formal,2024-02-02
99,44,M,Sporty,2024-08-06
100,64,F,Formal,2024-04-23
101,58,M,Vintage,2023-09-17
102,40,M,Formal,2023-05-30
103,43,M,Sporty,2024-05-05
104,69,F,Formal,2023-02-25
105,56,M,Sporty,2023-05-20
106,45,M,Vintage,2024-11-04
107,56,F,Vintage,2025-01-06
108,33,F,Sporty,2023-05-24
109,69,M,Casual,2023-10-26
110,65,F,Casual,2023-07-31
111,52,M,Casual,2023-03-08
112,30,M,Sporty,2023-06-20
113,57,M,Casual,2024-09-30
114,55,M,Casual,2023-12-11
115,51,F,Sporty,2024-05-05
116,39,F,Casual,2024-11-28
117,21,M,Casual,2024-09-06
118,67,F,Casual,2023-05-20
119,43,M,Sporty,2024-09-07
120,35,F,Casual,2024-07-21
121,63,M,Formal,2023-08-20
122,20,M,Sporty,2023-11-01
123,35,F,Casual,2024-07-14
124,49,F,Casual,2024-04-02
125,61,F,Sporty,2023-11-24
126,20,F,Vintage,2023-10-10
127,52,F,Casual,2023-08-15
128,28,F,Sporty,2024-02-23
129,54,M,Sporty,2024-10-24
130,22,F,Sporty,2024-08-10
131,36,M,Formal,2023-10-27
132,52,M,Casual,2024-10-29
133,30,F,Formal,2023-04-27
134,65,M,Sporty,2024-04-03
135,34,M,Casual,2023-05-12
136,32,F,Formal,2023-10-08
137,65,F,Formal,2023-11-14
138,62,M,Formal,2024-05-22
139,28,M,Casual,2023-07-25
140,65,F,Formal,2024-01-03
141,20,M,Casual,2023-04-28
142,39,M,Formal,2024-04-17
143,43,F,Formal,2024-10-18
144,26,F,Casual,2023-10-30
145,28,M,Formal,2024-02-05
146,19,F,Formal,2024-07-29
147,21,F,Sporty,2023-12-13
148,31,M,Formal,2023-02-15
149,42,M,Casual,2023-04-02
150,54,F,Vintage,2024-05-06
151,23,F,Vintage,2024-02-22
152,31,F,Vintage,2023-05-23
153,39,F,Sporty,2023-09-05
154,66,M,Sporty,2023-12-10
155,43,F,Casual,2023-10-18
156,59,M,Formal,2024-10-05
157,31,M,Sporty,2023-04-25
158,56,F,Sporty,2024-08-16
159,67,F,Vintage,2024-08-12
160,65,M,Sporty,2024-05-04
161,42,M,Formal,2024-07-18
162,58,M,Casual,2023-07-04
163,24,F,Vintage,2023-05-30
164,25,F,Casual,2024-12-23
165,33,M,Sporty,2023-08-27
166,18,M,Formal,2024-07-05
167,49,F,Sporty,2023-06-05
168,58,F,Casual,2023-03-12
169,25,M,Casual,2023-04-17
170,22,M,Formal,2023-02-21
171,59,F,Formal,2023-06-26
172,56,M,Formal,2023-06-15
173,65,F,Formal,2023-10-31
174,57,M,Vintage,2024-03-25
175,49,M,Casual,2024-04-29
176,35,F,Sporty,2023-02-19
177,23,M,Sporty,2023-12-22
178,30,M,Formal,2023-02-14
179,48,M,Casual,2023-08-29
180,33,M,Vintage,2023-10-26
181,18,F,Formal,2023-04-25
182,25,M,Formal,2023-04-15
183,64,M,Vintage,2025-02-04
184,44,F,Sporty,2023-08-20
185,38,F,Casual,2024-05-09
186,52,F,Casual,2023-02-18
187,32,F,Formal,2023-09-28
188,59,F,Vintage,2025-01-07
189,60,F,Sporty,2024-11-01
190,32,M,Casual,2024-02-12
191,32,F,Vintage,2024-02-01
192,35,F,Vintage,2023-05-24
193,35,M,Formal,2024-10-11
194,41,F,Vintage,2024-04-02
195,32,M,Casual,2023-05-08
196,21,F,Casual,2023-10-23
197,27,F,Casual,2023-08-14
198,24,M,Vintage,2024-03-04
199,40,F,Formal,2023-09-01
200,69,M,Casual,2024-03-16
201,54,M,Vintage,2024-11-30
202,43,F,Vintage,2024-07-29
203,56,F,Casual,2023-03-25
204,27,M,Vintage,2024-12-20
205,51,M,Vintage,2023-07-05
206,58,F,Casual,2024-07-23
207,50,M,Sporty,2024-12-08
208,49,M,Sporty,2023-05-21
209,20,M,Vintage,2024-07-28
210,58,F,Vintage,2023-04-25
211,56,M,Casual,2023-12-14
212,28,F,Formal,2024-07-13
213,66,M,Vintage,2024-04-27
214,29,M,Sporty,2024-08-01
215,38,M,Casual,2024-05-10
216,41,F,Vintage,2024-08-09
217,19,M,Casual,2025-01-11
218,51,M,Sporty,2025-01-23
219,20,F,Vintage,2023-11-29
220,41,F,Formal,2024-10-17
221,64,M,Formal,2024-12-20
222,66,M,Formal,2023-12-18
223,18,F,Casual,2024-01-14
224,22,M,Sporty,2024-09-09
225,47,F,Formal,2024-03-29
226,18,M,Sporty,2024-07-23
227,37,M,Vintage,2024-09-22
228,60,M,Formal,2023-08-13
229,59,F,Formal,2023-08-06
230,22,F,Vintage,2024-10-14
231,62,M,Sporty,2024-06-01
232,56,F,Vintage,2025-01-06
233,23,F,Sporty,2024-10-30
234,59,F,Sporty,2024-12-04
235,27,M,Formal,2023-12-10
236,64,M,Casual,2024-10-05
237,28,M,Sporty,2023-12-26
238,63,M,Vintage,2024-01-16
239,50,M,Casual,2023-06-11
240,49,M,Formal,2024-12-10
241,68,M,Vintage,2024-03-18
242,60,M,Vintage,2023-08-25
243,66,F,Formal,2025-01-16
244,68,M,Vintage,2023-03-04
245,23,M,Vintage,2024-01-22
246,53,F,Sporty,2024-12-08
247,42,M,Sporty,2024-06-04
248,34,F,Formal,2024-06-06
249,19,M,Casual,2024-09-19
250,21,F,Formal,2024-03-05
251,25,M,Casual,2023-05-14
252,22,M,Casual,2023-08-22
253,20,F,Formal,2024-03-24
254,18,F,Casual,2023-06-12
255,37,F,Formal,2024-06-27
256,67,F,Vintage,2024-11-04
257,47,M,Vintage,2024-11-09
258,32,F,Vintage,2023-10-25
259,27,M,Casual,2024-05-02
260,26,M,Vintage,2024-03-01
261,50,M,Formal,2023-10-08
262,49,M,Formal,2024-06-25
263,22,F,Vintage,2023-09-29
264,65,F,Formal,2023-03-11
265,48,M,Formal,2024-06-03
266,30,F,Vintage,2023-10-28
267,63,F,Vintage,2024-10-06
268,26,M,Formal,2024-03-16
269,32,F,Sporty,2025-01-22
270,36,F,Formal,2025-01-03
271,58,F,Casual,2023-05-04
